exec sudo mnexec -a 24189 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.4 port 60989
[  2] local 10.0.0.1 port 8 connected with 10.0.0.5 port 48225
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 43957
[  4] local 10.0.0.1 port 8 connected with 10.0.0.3 port 60239
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 37.0000-38.0000 sec   854 KBytes  7.00 Mbits/sec   0.343 ms 0/595 (0%)
[  4] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.468 ms 0/425 (0%)
[  2] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.105 ms 0/425 (0%)
[  1] 38.0000-39.0000 sec   732 KBytes  6.00 Mbits/sec   0.353 ms 0/510 (0%)
[  3] 38.0000-39.0000 sec   854 KBytes  7.00 Mbits/sec   0.269 ms 0/595 (0%)
[  2] 38.0000-39.0000 sec   610 KBytes  5.00 Mbits/sec   0.012 ms 0/425 (0%)
[  4] 38.0000-39.0000 sec   610 KBytes  5.00 Mbits/sec   0.383 ms 0/425 (0%)
[  1] 39.0000-40.0000 sec   732 KBytes  6.00 Mbits/sec   0.324 ms 0/510 (0%)
[  2] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.031 ms 0/425 (0%)
[  3] 39.0000-40.0000 sec   854 KBytes  7.00 Mbits/sec   0.237 ms 0/595 (0%)
[  4] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.399 ms 0/425 (0%)
[  1] 40.0000-41.0000 sec   734 KBytes  6.01 Mbits/sec   0.410 ms 0/511 (0%)
[  3] 40.0000-41.0000 sec   856 KBytes  7.01 Mbits/sec   0.301 ms 0/596 (0%)
[  4] 40.0000-41.0000 sec   612 KBytes  5.01 Mbits/sec   0.400 ms 0/426 (0%)
[  2] 40.0000-41.0000 sec   612 KBytes  5.01 Mbits/sec   0.024 ms 0/426 (0%)
[  1] 41.0000-42.0000 sec   732 KBytes  6.00 Mbits/sec   0.255 ms 0/510 (0%)
[  3] 41.0000-42.0000 sec   854 KBytes  7.00 Mbits/sec   0.251 ms 0/595 (0%)
[  4] 41.0000-42.0000 sec   610 KBytes  5.00 Mbits/sec   0.364 ms 0/425 (0%)
[  2] 41.0000-42.0000 sec   610 KBytes  5.00 Mbits/sec   0.079 ms 0/425 (0%)
[  1] 42.0000-43.0000 sec   732 KBytes  6.00 Mbits/sec   0.376 ms 0/510 (0%)
[  3] 42.0000-43.0000 sec   854 KBytes  7.00 Mbits/sec   0.263 ms 0/595 (0%)
[  2] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.049 ms 0/425 (0%)
[  4] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.383 ms 0/425 (0%)
[  1] 43.0000-44.0000 sec   732 KBytes  6.00 Mbits/sec   0.241 ms 0/510 (0%)
[  2] 43.0000-44.0000 sec   610 KBytes  5.00 Mbits/sec   0.024 ms 0/425 (0%)
[  3] 43.0000-44.0000 sec   856 KBytes  7.01 Mbits/sec   0.201 ms 0/596 (0%)
[  4] 43.0000-44.0000 sec   610 KBytes  5.00 Mbits/sec   0.405 ms 0/425 (0%)
[  1] 44.0000-45.0000 sec   734 KBytes  6.01 Mbits/sec   0.296 ms 0/511 (0%)
[  2] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.020 ms 0/425 (0%)
[  3] 44.0000-45.0000 sec   854 KBytes  7.00 Mbits/sec   0.214 ms 0/595 (0%)
[  4] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.365 ms 0/425 (0%)
[  1] 45.0000-46.0000 sec   731 KBytes  5.99 Mbits/sec   0.296 ms 0/509 (0%)
[  3] 45.0000-46.0000 sec   854 KBytes  7.00 Mbits/sec   0.292 ms 0/595 (0%)
[  4] 45.0000-46.0000 sec   610 KBytes  5.00 Mbits/sec   0.464 ms 0/425 (0%)
